topik,keyword,tweet,gambar,url,label
Air Garam,Air garam sumber energi,Mahasiswa ITS buat pembangkit listrik dari kolam air garam. Gimana sob? Satu lagi penemuan sumber energi alternatif. http://ow.ly/i/2X2RP,,https://twitter.com/Klik_iT_indo/status/370802954376585216?s=20,hoax
Air Garam,Air garam sumber energi,Lampu Dengan Sumber Energi Air Garam Ini Berpotensi Dijadikan Charger Smartphone: Sumber energi alternatif tam... http://bit.ly/1SHw8X0,,https://twitter.com/Robin_nugraha/status/628546389862035456?s=20,hoax
Air Garam,Air garam sumber energi,#didUknow Lampu LED yang menggunakan air dan garam sebagai sumber listrik: Belakangan banyak energi... http://d-id.tk/PovJ8e (@keripiku),,https://twitter.com/SerbaTauID/status/247310451409580032?s=20,hoax
Air Garam,Air garam sumber energi,#tekno Lampu Dengan Sumber Energi Air Garam Ini Berpotensi Dijadikan Charger Smartphone http://goo.gl/waWW4H,,https://twitter.com/elrafa_agba/status/628549484671152129?s=20,hoax
Air Garam,Air garam sumber energi,"Green House,lampu darurat dg sumber energi garam&air.ada port USB yg dpt digunakan Hiseners utk mengisi baterai hp.",,https://twitter.com/HisenseID/status/761396317620797440?s=20,hoax
Air Garam,Air garam sumber energi,Inovasi ini berupa pemanfaatan air garam sebagai sumber energi listrik alternatif untuk kemandirian energi berbasis potensi lokal Madura.,,https://twitter.com/BeswanDjarum/status/518216667034161152?s=20,?
Air Garam,Air garam sumber energi,Saat membuang air garam berisi energi virus dan energi penyakit jangan sampai tersiram ke tanaman atau ke sumber... http://fb.me/CHEPa9jq,,https://twitter.com/arumsekar120/status/167465308393713664?s=20,?
UNDIP,Uang pangkal masuk Undip,"[Detiknews] Di Kampus Lain Ratusan Juta, Biaya Masuk FK Unsoed Rp 0!: Jika FK Undip mematok uang pangkal Rp 125 ... http://bit.ly/LZGNrw",,https://twitter.com/aldisulthony/status/213188900850638850?s=20,hoax
UNDIP,Uang pangkal masuk Undip,"Ini pencemaran nama baik, gk masuk akal kl masuk PT Undip ampe ngeluarin uang 87 M buat uang pangkal, 87 M itu besar banget,,!",,https://twitter.com/Daspan_Arya/status/1297524252652916738?s=20,valid
UNDIP,Uang pangkal masuk Undip,"Di Kampus Lain Ratusan Juta, Biaya Masuk FK Unsoed Rp 0!: Jika FK Undip mematok uang pangkal Rp 125 juta, maka d... http://bit.ly/LZGNrw",,https://twitter.com/terkini_berita/status/213188657610375168?s=20,hoax
UNDIP,Uang pangkal masuk Undip,[Hoax] Uang Pangkal Masuk Undip Rp87 Miliar https://detax.org/issue/xe5 via,,https://twitter.com/DetaxId/status/1297810573501980672?s=20,hoax
UNDIP,Uang pangkal masuk Undip,"jalur Mandiri soalnya. Kmrn guru gua nawarin masuk FK UNDIP via jalur Kemitraan, uang pangkal 250 jt, belum SPP nya",,https://twitter.com/rafidshidqi_/status/226696454461341696?s=20,?
UNDIP,Uang pangkal masuk Undip,"Sempat Trending Uang Pangkal Masuk Undip Rp 87 M, Hoaks, yang Ada Sumbangan, Berikut Daftarnya https://wartakota.tribunnews.com/2020/08/24/sempat-trending-uang-pangkal-masuk-undip-rp-87-m-hoaks-yang-ada-sumbangan-berikut-daftarnya… lewat ",,https://twitter.com/joswito/status/1297709747605401600?s=20,hoax
UNDIP,Uang pangkal masuk Undip,"Terkait adanya isu soal uang pangkal 87 miliar tersebut, pihak Undip merasa dirugikan dan akan menempuh jalur hukum.",,https://twitter.com/kompascom/status/1297431763204022272?s=20,valid
